IMO/LR/IHS No.;Name of Ship;Flag;MMSI;Callsign;Status;GT;Ship Type
9632351;BARDA;Azerbaijan;423367100;4JOV;In Service/Commission;8045;Rail Vehicles Carrier
9814521;BARYS;Kazakhstan;436000365;UNIM;In Service/Commission;4382;Deck Cargo Ship
9384629;BEKET;Kazakhstan;;UPN;In Service/Commission;149;Tug
9519236;BEKET ATA;Kazakhstan;436000241;UNDU;In Service/Commission;4182;General Cargo Ship
9140970;BELBEK;Cyprus;212857000;P3MG8;In Service/Commission;3817;Refrigerated Cargo Ship
6514376;BELLONA;Romania;264163354;YP3354;In Service/Commission;2460;Products Tanker 
9684330;BERKARAR;Turkmenistan;434123000;EZHO;In Service/Commission;9791;Passenger/Ro-Ro Ship (Vehicles)
9814533;BERKUT;Kazakhstan;436000366;UNIN;In Service/Commission;4382;Deck Cargo Ship
9375159;BLUE STAR I;Panama;356196000;3ELP3;In Service/Commission;3254;General Cargo Ship
9132492;BOGDAN;Belize;312245000;V3RA5;In Service/Commission;10220;Bulk Carrier
9768394;BORIS DAVYDOV;Cyprus;209356000;5BBK5;In Service/Commission;122806;LNG Tanker
8971188;BORIS PEVKIN;Panama;354824000;3EYM7;In Service/Commission;5076;General Cargo Ship
9817315;BORIS SOKOLOV;Cyprus;209387000;5BBS5;In Service/Commission;39982;Crude/Oil Products Tanker
9768368;BORIS VILKITSKY;Cyprus;212654000;5BST4;In Service/Commission;128806;LNG Tanker
8885171;BULAG;Azerbaijan;423190100;;In Service/Commission;236;Water Tanker
8963143;BULAG-2;Azerbaijan;423243100;;In Service/Commission;236;Water Tanker
8228579;BUNKEROVSHIK-4;Azerbaijan;423143100;;In Service/Commission;1896;Products Tanker 
8711801;BUNKEROVSHIK-7;Azerbaijan;423231100;;In Service/Commission;1896;Products Tanker 
9186285;BUSY BEE;Panama;351627000;HO7702;In Service/Commission;342;Tug
9076466;CANOPUS S;Liberia;636021308;5LDH9;In Service/Commission;4991;General Cargo Ship
9232929;CAPE BELLA V;Cyprus;210045000;5BPA5;In Service/Commission;81270;Crude Oil Tanker
8989379;CAPTAIN ARISTIDIS;Greece;237033600;SX2420;In Service/Commission;521;Passenger/Ro-Ro Ship (Vehicles)
8843044;CARAPAU 1;Namibia;659424000;V5NU;In Service/Commission;4407;Fish Factory Ship
9095058;CASPIAN FALCON;Kazakhstan;436000384;UNJC;In Service/Commission;118;Air Cushion Vehicle Passenger/Ro-Ro (Vehicles)
7741160;CASPIAN LEGEND;Azerbaijan;423505100;4JTH;In Service/Commission;2613;Ore/Oil Carrier
9030321;CASPIAN SPIRIT;Azerbaijan;423491100;4JSY;In Service/Commission;1124;Platform Supply Ship
9650195;CASPIAN STAR;Azerbaijan;423400100;4JPE;In Service/Commission;1199;Passenger Ship
9495612;CHELSEA-1;Palau;511336000;T8A2302;In Service/Commission;5226;General Cargo Ship
9314442;CHELSEA-2;Malta;256365000;9HSG8;In Service/Commission;5166;General Cargo Ship
9361392;CHELSEA-3;Malta;256228000;9HOU8;In Service/Commission;5170;General Cargo Ship
9492634;CHELSEA-7;Malta;215991000;9HA2806;In Service/Commission;5231;General Cargo Ship
9737187;CHRISTOPHE DE MARGERIE;Cyprus;212611000;5BNR4;In Service/Commission;128806;LNG Tanker
9004499;CINDY;Belize;312849000;V3TK3;In Service/Commission;6030;General Cargo Ship
9412361;CITRINE;Panama;355567000;3EUK;In Service/Commission;5372;General Cargo Ship
9684639;CMS- 3;Azerbaijan;423402100;4JQH;In Service/Commission;255;Utility Vessel
9702168;CMS IGID;Azerbaijan;423403100;4JQF;Laid-Up;221;Tug
9753789;CMS PAHLAVAN;Azerbaijan;423404100;4JQG;Laid-Up;335;Tug
9963205;CRANESHIP 5051;Belize;;;Keel Laid;1105;Pollution Control Vessel
9128063;CROWN OPAL;Bahamas;311000801;C6DW4;In Service/Commission;10519;Refrigerated Cargo Ship
9918016;DAEWOO 2515;Cyprus;;;Launched;131345;LNG Tanker
9918028;DAEWOO 2516;Cyprus;;;Keel Laid;131345;LNG Tanker
9918030;DAEWOO 2517;Singapore;;;Under Construction;131345;LNG Tanker
9918042;DAEWOO 2518;Singapore;;;Under Construction;131345;LNG Tanker
9918054;DAEWOO 2519;Singapore;;;On Order/Not Commenced;131345;LNG Tanker
8212544;DAGISTAN;Azerbaijan;423016100;4JIK;In Service/Commission;11450;Passenger/Ro-Ro Ship (Vehicles/Rail)
9883649;DAMEN GORINCHEM 512622;Unknown;;;On Order/Not Commenced;299;Tug
9934802;DAMEN GORINCHEM 512623;Unknown;;;On Order/Not Commenced;299;Tug
9957361;DAMEN GORINCHEM 512635;Unknown;;;On Order/Not Commenced;299;Tug
9957373;DAMEN GORINCHEM 512636;Unknown;;;On Order/Not Commenced;299;Tug
9962316;DAMEN GORINCHEM 512637;Unknown;;;On Order/Not Commenced;299;Tug
9962328;DAMEN GORINCHEM 512638;Unknown;;;On Order/Not Commenced;299;Tug
9965071;DAMEN SHIPYARDS CHANGDE 512714;Unknown;;;On Order/Not Commenced;187;Tug
9965083;DAMEN SHIPYARDS CHANGDE 512715;Unknown;;;On Order/Not Commenced;187;Tug
9347243;DEDE GORGUD;Azerbaijan;423207100;4JND;In Service/Commission;7833;Products Tanker
7907166;DEEP VENTURE;Unknown;;;Laid-Up;12923;Drilling Ship
8883214;DELFIN 1;Azerbaijan;423483100;4JSQ;In Service/Commission;1589;General Cargo Ship
8655942;DELFINI;Greece;237017900;SV2388;Laid-Up;199;Passenger Ship
9911197;DEYMOS;Belize;312767000;V3MP5;In Service/Commission;396;Tug
8866723;DIAMOND C;Comoros;620150000;D6A2150;In Service/Commission;2447;General Cargo Ship
8670576;DIMOSTHENIS;Greece;237032400;SX7828;Laid-Up;279;Passenger Ship
8670564;DIMOSTHENIS K;Greece;237675700;SX3016;In Service/Commission;243;Passenger Ship
9209087;DISCOVER;Panama;352001610;3E3670;In Service/Commission;19728;Bulk Carrier
9447782;DORADO PLUS;Malta;256705000;9HAZ9;In Service/Commission;5684;General Cargo Ship
9471800;DREMORA 2;St Kitts & Nevis;341755000;V4FI;In Service/Commission;4089;General Cargo Ship
9390317;DUMANKAYA;Turkey;271000988;TCSU8;In Service/Commission;3144;Chemical Tanker
9384289;DZHIGIT;Turkmenistan;;EZJY;In Service/Commission;294;Pusher Tug
9031624;EAST;Estonia;276854000;ESLO;In Service/Commission;1666;Products Tanker 
9824588;ECO AELA;Latvia;275031015;YL3125;In Service/Commission;469;Tank Cleaning Vessel
9103013;EGE BEY;Vanuatu;577469000;YJWW5;In Service/Commission;5966;General Cargo Ship
8515946;EHRAM KHALIGOV;Azerbaijan;423120100;4JBC;In Service/Commission;2737;Offshore Tug/Supply Ship
9158458;EKATERINA;Malta;215776000;9HAH8;In Service/Commission;16418;Bulk Carrier
8858130;ELEGANCE;Belize;312741000;V3YO2;In Service/Commission;2452;General Cargo Ship
8748488;ELENI;Greece;237040100;SW9808;In Service/Commission;965;Passenger/Ro-Ro Ship (Vehicles)
9787962;EMBA;Kazakhstan;436000370;UNIR;In Service/Commission;218;Tug
9934955;ENCELADUS;Belize;312527000;V3IT2;In Service/Commission;396;Tug
8681381;EPTANISOS;Greece;239196600;SY8436;In Service/Commission;253;Passenger Ship
7349986;ERSAI 3;Kazakhstan;436000130;;In Service/Commission;1963;Work/Repair Vessel
9657454;ETREK;Turkmenistan;434116700;EZEA;In Service/Commission;4793;Products Tanker
9938468;EXPERT 3;Belize;312754000;V3YV7;Launched;1299;Crane Vessel
8632146;EXPRESS SKOPELITIS;Greece;237029400;SW3130;In Service/Commission;438;Passenger Ship
9768370;FEDOR LITKE;Cyprus;212660000;5BSS4;In Service/Commission;128806;LNG Tanker
9094157;FEOFAN SHOKHIREV;Panama;374463000;3EPK9;In Service/Commission;4972;General Cargo Ship
9324942;FESCO ASKOLD;Cyprus;209590000;C4JA2;In Service/Commission;9957;Container Ship (Fully Cellular)
9237486;FESCO DALNEGORSK;Cyprus;209366000;5BBQ5;In Service/Commission;35881;Container Ship (Fully Cellular)
9365295;FESCO DIOMID;Cyprus;212232000;5BRA2;In Service/Commission;35824;Container Ship (Fully Cellular)
9237503;FESCO SOFIA;Cyprus;210315000;5BWL5;In Service/Commission;35881;Container Ship (Fully Cellular)
9168233;FESCO TRADER;Cyprus;210569000;P3WQ9;In Service/Commission;12471;Container Ship (Fully Cellular)
8218861;FIRAT;Kazakhstan;436000118;URN;Laid-Up;964;Platform Supply Ship
9121091;FISHING SUCCESS;Latvia;275474000;YLOJ;In Service/Commission;4407;Fish Factory Ship
8522298;FLIPPER X;Guinea-Bissau;630124050;J5MM8;In Service/Commission;1895;Fishing Vessel
8721208;FORZA;Cameroon;613003740;TJMC10;In Service/Commission;4407;Fish Factory Ship
8730132;FREDRIKSHAMN;Cameroon;613003598;TJMC54;In Service/Commission;4407;Fish Factory Ship
9076260;FRIO FORWIN;Cyprus;210631000;5BWC3;In Service/Commission;6964;Refrigerated Cargo Ship
9433145;FS IPANEMA;Liberia;636018056;A8PT6;In Service/Commission;21265;Container Ship (Fully Cellular)
9598361;FTM 21;Marshall Islands;538010208;V7A5754;In Service/Commission;4383;Products Tanker 
9598359;FTM 22;Marshall Islands;538010213;V7A5760;In Service/Commission;4383;Products Tanker 
9598385;FTM 23;Marshall Islands;538010214;V7A5761;In Service/Commission;4383;Products Tanker 
9598373;FTM 24;Marshall Islands;538010215;V7A5762;In Service/Commission;4383;Products Tanker 
9630975;FTM 25;Marshall Islands;538010216;V7A5763;In Service/Commission;4383;Products Tanker 
9340855;GAFUR MAMMADOV;Azerbaijan;423039100;4JRN;In Service/Commission;4182;General Cargo Ship
8702238;GARADAGH;Azerbaijan;423025100;4JDS;In Service/Commission;3048;General Cargo Ship
9203095;GARZPROM-2;Mexico;345010047;XCGN8;Laid-Up;19204;Crane Vessel
7645079;GEFER JABBARLY;Azerbaijan;423015100;4JGY;In Service/Commission;3714;General Cargo Ship
8507248;GEHREMAN HAGIYEV;Azerbaijan;423024100;4JIO;In Service/Commission;4185;Crude/Oil Products Tanker
8129668;GENERAL ALIAGA SHIKHLINSKY;Azerbaijan;423189100;4JCK;In Service/Commission;19813;Crane Vessel
8128183;GENERAL ASADOV;Azerbaijan;423097100;4JGJ;In Service/Commission;2621;Passenger Ship
9294460;GENERAL ASLANOV;Azerbaijan;423035100;4JRM;In Service/Commission;4182;General Cargo Ship
7218620;GENERAL ISMET GAYIBOV;Azerbaijan;423178100;4JAP;Laid-Up;1611;Water Tanker
7643851;GEOFIZIK;Azerbaijan;423162100;4JHN;In Service/Commission;307;Diving Support Vessel
8504911;GEOPHYSIC-1;Azerbaijan;423088100;4JFF;Laid-Up;952;Research Survey Vessel
8228426;GEOPHYSIC-3;Azerbaijan;423089100;4JFH;In Service/Commission;733;Research Survey Vessel
8953394;GEORGIA;Greece;237021700;SX2833;In Service/Commission;242;Passenger Ship
9768382;GEORGIY BRUSILOV;Cyprus;212770000;5BSW4;In Service/Commission;128806;LNG Tanker
9581552;GIZ GALASI;Azerbaijan;423346100;4JOE;In Service/Commission;200;Crew Boat
9449651;GLORISTAR;Sierra Leone;667001594;9LU2397;In Service/Commission;4587;Products Tanker 
9017666;GLORIWAVE;Sierra Leone;667498000;9LC2077;In Service/Commission;4529;Products Tanker
9640475;GLOSTER 2;Cook Islands;518919000;E5U2866;Keel Laid;2980;Products Tanker 
9581540;GOBUSTAN;Azerbaijan;423345100;4JOF;Laid-Up;200;Crew Boat
9430210;GOGLAND;Cyprus;209240000;5BYF4;In Service/Commission;3568;Chemical/Products Tanker
8801620;GOLDEN ROSE;Comoros;620084000;D6A2084;In Service/Commission;6030;General Cargo Ship
8870724;GRAMVOUSA EXPRESS;Greece;237038900;SX3458;In Service/Commission;213;Passenger Ship
9262522;GREENDALE;Belize;312601000;V3XK2;In Service/Commission;22640;Bulk Carrier
7703962;GREY WHALE;Cameroon;613003578;TJMC34;In Service/Commission;3840;Fish Factory Ship
9581538;GULUSTAN;Azerbaijan;423337100;4JNZ;In Service/Commission;200;Crew Boat
8410172;GURBAN ABASOV;Azerbaijan;423341100;4JCI;In Service/Commission;21497;Crane Vessel
8325377;GYULTAKIN ASKEROVA;Azerbaijan;423082100;4JBD;In Service/Commission;2737;Pipe Carrier
8620583;HARMONY V;Greece;237243500;SX8327;Laid-Up;693;Passenger/Cruise
9435399;HAZAR;Turkmenistan;434114000;EZCY;In Service/Commission;4681;Products Tanker 
7604697;HECTOR;St Vincent & The Grenadines;375083000;J8B3164;In Service/Commission;363;Tug
8402577;HELGA;Antigua & Barbuda;304010054;V2XS;In Service/Commission;1472;General Cargo Ship
8974087;HERACLES;Estonia;;;In Service/Commission;691;Crane Vessel, non propelled
9155248;HERCULES;Palau;511100348;T8A3472;In Service/Commission;4386;Asphalt/Bitumen Tanker
9614579;HERCULES;Belize;312524000;V3FK2;In Service/Commission;413;Tug
8884191;HOVSAN;Azerbaijan;423145100;;Laid-Up;187;Tug
8884206;HOVSAN-2;Azerbaijan;423186100;;In Service/Commission;187;Tug
8857435;HOVSAN-5;Azerbaijan;423106100;4JMH;Laid-Up;182;Tug
8721155;HUNTER;Belize;312766000;V3GY;In Service/Commission;4407;Fish Factory Ship
9396658;HUSEYN JAVID;Azerbaijan;423029100;4JRJ;In Service/Commission;4182;General Cargo Ship
8680791;IKAROS PALACE;Greece;237037100;SX7739;In Service/Commission;178;Passenger Ship
8136295;ILIDA II;Greece;237037200;SX2772;In Service/Commission;141;Passenger Ship
8729688;INDEPENDENT;New Zealand;512005171;ZMCS;In Service/Commission;4407;Fish Factory Ship
9039121;INTERIM;Panama;351695000;3FBB7;In Service/Commission;25060;Crude/Oil Products Tanker
8969147;IONION PELAGOS;Greece;237029100;SW5602;In Service/Commission;2436;Passenger Ship
8423260;IRGIZ;Azerbaijan;423083100;4JEE;In Service/Commission;758;Pipe Carrier
9700536;IRGIZ;Kazakhstan;436000372;UNIT;In Service/Commission;221;Tug
8202018;IRON DESTINY;Liberia;636012321;A8ER8;In Service/Commission;54263;Bulk Carrier
8834639;IRVINGA;New Zealand;512411000;ZMMA;In Service/Commission;4407;Fish Factory Ship
8507420;ISLAM KERIMOV;Azerbaijan;423099100;4JIS;In Service/Commission;1384;Crane Vessel
8228646;ISLAM SEFERLI;Azerbaijan;423036100;4JIL;In Service/Commission;4185;Crude/Oil Products Tanker
8606886;IVAN TORNEV;Unknown;;;Laid-Up;1895;Fishing Vessel
9394064;JABBAR HASHIMOV;Azerbaijan;423303100;4JNO;In Service/Commission;7226;Products Tanker
9297723;JALIL MAMMEDGULUZADE;Azerbaijan;423104100;4JMB;In Service/Commission;5143;Products Tanker
7802964;JAMES;St Kitts & Nevis;341815000;V4UV3;In Service/Commission;4733;Trailing Suction Hopper Dredger
9137430;JASMINE II;St Kitts & Nevis;341356000;V4PE4;In Service/Commission;27552;Bulk Carrier
9592202;JEYHUN;Turkmenistan;434114600;EZDE;In Service/Commission;4793;Products Tanker 
9148257;JOLANTA;Cyprus;210894000;5BAY2;In Service/Commission;3621;General Cargo Ship
9198094;JOLIE;Cameroon;613269306;TJM0043;In Service/Commission;58125;Crude Oil Tanker
8743969;JOLINE;Latvia;275402000;YL2724;In Service/Commission;642;Ro-Ro Cargo Ship
8869270;JOY STAR;Greece;241609000;SVA8166;In Service/Commission;232;Passenger Ship
9590216;JUPITER;Kazakhstan;436000301;UNGN;In Service/Commission;183;Tug
8607397;JUPITER 1;Namibia;659425000;V5NW;In Service/Commission;7765;Fish Factory Ship
9821471;KALBAJAR;Azerbaijan;423501100;4JSX;In Service/Commission;5371;Products Tanker
9917232;KANIN NOS;St Vincent & The Grenadines;375808000;J8B6284;On Order/Not Commenced;299;Tug
9130133;KAPITAN AFANASYEV;Cyprus;209464000;P3XL7;In Service/Commission;16575;Container Ship (Fully Cellular)
9673707;KAPITAN AGASIYEV;Azerbaijan;423383100;4JPG;In Service/Commission;490;Tug
9462859;KAPITAN CHEKHA;Malta;229322000;9HA3231;In Service/Commission;5223;General Cargo Ship
9130157;KAPITAN MASLOV;Cyprus;209333000;P3CG8;In Service/Commission;16575;Container Ship (Fully Cellular)
9120308;KAPITAN MORGUN;Latvia;275503000;YLPN;In Service/Commission;4407;Fish Factory Ship
9121106;KAPITAN RUSAK;Cameroon;613320100;TJMC273;In Service/Commission;4407;Fish Factory Ship
8136623;KAPITAN SUKHONDYAYEVSKIY;Cameroon;613003806;TJMC135;In Service/Commission;4407;Fish Factory Ship
9297814;KARABAKH;Azerbaijan;423302100;4JNN;In Service/Commission;8547;Rail Vehicles Carrier
9281504;KAREWOOD GLORY;Bahamas;311000613;C6CZ4;In Service/Commission;5197;General Cargo Ship
9883625;KATRAN;St Vincent & The Grenadines;375408000;J8B6269;In Service/Commission;299;Tug
9323118;KAZAKHSTAN;Kazakhstan;436000034;UOH;In Service/Commission;7224;Products Tanker
9702675;KENAR;Turkmenistan;434122700;EZHL;In Service/Commission;4793;Products Tanker
8862026;KHAZAR-1;Azerbaijan;423175100;;In Service/Commission;235;Bunkering Tanker (Oil)
8953332;KHAZAR-2;Azerbaijan;423176100;;In Service/Commission;235;Pollution Control Vessel
8826228;KHAZAR-3;Azerbaijan;423331100;4JBL;In Service/Commission;235;Pollution Control Vessel
9190121;KHAZARBORG;Kazakhstan;436000004;UND;In Service/Commission;130;Pusher Tug
9056909;KHERSONSKIY 6004;Unknown;;;Launched;14184;General Cargo Ship (with Ro-Ro facility)
9284104;KHODJAVAND;Azerbaijan;423103100;4JLZ;In Service/Commission;5143;Products Tanker
9573347;KHUDAFERIN;Azerbaijan;423334100;4JNY;In Service/Commission;200;Crew Boat
9753129;KIHNU VIRVE;Estonia;276827000;ESJZ;In Service/Commission;924;Passenger/Ro-Ro Ship (Vehicles)
9347231;KOROGLU;Azerbaijan;423242100;4JNC;In Service/Commission;7833;Products Tanker
9826902;KOROLEV PROSPECT;Liberia;636018959;D5SF5;In Service/Commission;64909;Crude Oil Tanker
8826577;KRONSHTADTSKIY;Mongolia;;JVAK7;To Be Broken Up;2461;Fish Factory Ship
9883613;KUMZHA;St Vincent & The Grenadines;375095000;J8B6268;In Service/Commission;299;Tug
9849021;LA DATCHA;Panama;352001966;3E2806;In Service/Commission;2517;Yacht
8742496;LADY ANASTASIA;St Vincent & The Grenadines;377423000;J8Y4288;In Casualty Or Repairing;476;Yacht
8903052;LADY ARZU;Panama;370804000;3FHU4;In Service/Commission;2236;General Cargo Ship
8606745;LAIMA;Latvia;275505000;YLPP;In Service/Commission;1895;Fishing Vessel
9256860;LANA;Iran;422544900;EPXR6;In Casualty Or Repairing;61991;Crude Oil Tanker
8876699;LBB-1010;Lithuania;277187000;LYMY;In Service/Commission;118;Fishing Vessel
8876649;LBB-1044;Lithuania;277213000;LYNO;In Service/Commission;118;Fishing Vessel
8722575;LBB-1113;Lithuania;277205000;LYAN;In Service/Commission;117;Fishing Vessel
8949434;LEONID KHOTKIN;Panama;352980773;3E3526;In Service/Commission;4997;General Cargo Ship
8743696;LEVKIMI;Greece;237671800;SY3734;In Service/Commission;869;Passenger/Ro-Ro Ship (Vehicles)
9224453;LIN;Cyprus;210105000;5BQF5;In Service/Commission;81085;Crude Oil Tanker
9802774;LINDA;St Vincent & The Grenadines;377686000;J8B5662;Laid-Up;5122;Products Tanker
8017097;LYUTOGA;Azerbaijan;423077100;4JLM;In Service/Commission;1312;Anchor Handling Tug Supply
9057317;M. N. EREGLI;Malta;256183000;9HNL8;In Service/Commission;2319;General Cargo Ship
